Drug_ID,Drug,Y
23,N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O,1
24,C[C@]12CC[C@H]3C(=CCc4cc(O)ccc43)[C@@H]1CCC2=O,1
25,C[C@H](CCc1ccccc1)NC[C@H](O)c1ccc(O)c(C(N)=O)c1,1
26,CO[C@@H]1[C@@H](OC2OC(C)C(OC3CC(C)(O)C(O)C(C)O3)C(N(C)C)C2O)[C@@H](CC=O)C[C@@H](C)[C@@H](OC2CCC(N(C)C)C(C)O2)C=CC=CC[C@@H](C)OC(=O)C[C@H]1OC(C)=O,1
27,CC(CCc1ccccc1)NC(C)C(O)c1ccc(O)cc1,1
28,CCc1ccc(C(=O)C(C)CN2CCCCC2)cc1.Cl,1
29,COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1,1
30,CCCNC(C)(C)COC(=O)c1ccccc1.Cl,1
31,CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,1
32,CC(C)(N)Cc1ccccc1.Cl,1
33,COc1ncnc(NS(=O)(=O)c2ccc(N)cc2)c1OC,1
34,CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N.Cl,1
35,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,1
36,O=C1c2c(O)cccc2Cc2cccc(O)c21,1
37,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,1
38,Cl.O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,1
39,C[C@@H]1CCO[C@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N21,1
40,Cc1ccc(C(=O)C(C)CN2CCCCC2)cc1.Cl,1
41,CNCc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1,1
42,CN(C)CCN(Cc1ccccc1)c1ccccn1.Cl,1
43,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,1
44,Cc1ccc(O)c([C@H](CCN(C(C)C)C(C)C)c2ccccc2)c1.O=C(O)[C@H](O)[C@@H](O)C(=O)O,1
45,CC(=O)Oc1ccc(C(=C2CCCCC2)c2ccc(OC(C)=O)cc2)cc1,1
46,Cl.c1ccc2c(c1)OCC(C1=NCCN1)O2,1
47,CN(C)CCCN1c2ccccc2Sc2ccccc21.Cl,1
48,CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1.CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1.O=C(O)[C@H](O)[C@@H](O)C(=O)O,1
49,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,1
50,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)c1ccc(N)cc1,1
51,CN(C)CCOC(c1ccccc1)c1ccccc1.Cn1c(=O)c2[nH]c(Cl)nc2n(C)c1=O,1
52,CCC1(c2cccc(O)c2)CCCCN(C)C1.Cl,1
53,CCCc1cc(C(N)=S)ccn1,1
54,CN(C)CCOC(=O)C(c1ccccc1)C1(O)CCCC1.Cl,1
55,O=C1Nc2ccccc2C1(c1ccc(O)cc1)c1ccc(O)cc1,1
56,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,1
57,O.O=C1OC2(c3cc(Br)c([O-])cc3Oc3c2cc(Br)c([O-])c3[Hg])c2ccccc21.[Na+].[Na+],1
58,CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1.Cl,1
59,CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,1
60,C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,1
61,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,1
62,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,1
63,Cl.Nc1c(Br)cc(Br)cc1CNC1CCC(O)CC1,1
64,Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1,1
65,C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@@H](O)CC[C@@]43C)[C@@H]1CCC2=O,1
66,CC(C)NC[C@H](O)COc1cccc2ccccc12.Cl,1
67,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,1
68,Cl.NCCc1ccc(O)c(O)c1,1
69,C/C(=C(/CCOC(=O)c1ccccc1)SS/C(CCOC(=O)c1ccccc1)=C(\C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N,1
70,Cn1nnnc1SCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)[C@H](O)c3ccccc3)[C@H]2SC1.[Na+],1
71,Cl.Cl.OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1,1
72,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21.CS(=O)(=O)O,1
73,O.O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O,1
74,C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,1
75,CCC(=O)OC(OP(=O)(CCCCc1ccccc1)CC(=O)N1C[C@H](C2CCCCC2)C[C@H]1C(=O)O)C(C)C,1
76,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2.Cl,1
77,CN1CCN2c3ncccc3Cc3ccccc3C2C1,1
78,C[C@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@@H](C)N1,1
79,CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC,1
80,C/C=C/c1ccc(OC)cc1,1
81,CC(C)C(=O)c1c(C(C)C)nn2ccccc12,1
82,COc1ccc2cc(CCC(C)=O)ccc2c1,1
83,CNCC(O)c1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1.Cl,1
84,Cl.Clc1ccc(Cn2c(CN3CCCC3)nc3ccccc32)cc1,1
85,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O.CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O.c1ccc(CNCCNCc2ccccc2)cc1,1
86,CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C,1
87,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1.O=C(O)/C=C\C(=O)O,1
88,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,0
89,CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(c1ccccc1)N(C)C,0
90,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,0
91,CC(C)=CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,0
92,CCN1CCCC(OC(=O)C(c2ccccc2)c2ccccc2)C1.Cl,0
93,CC(=O)Oc1ccccc1C(=O)O,0
94,Cl.O=C(Nc1ccccc1)OCC(CN1CCCCC1)OC(=O)Nc1ccccc1,0
95,CCCC1C(=O)N2C(N(C)C)=Nc3ccc(C)cc3N2C1=O,0
96,CN(C)CC/C=C1/c2ccccc2COc2ccc(CC(=O)O)cc21.Cl,0
97,CC1CC(OC(=O)c2ccccc2O)CC(C)(C)C1,0
98,COc1ccc(C(=O)c2ccc(C)cc2)c(O)c1,0
99,CC(=O)Nc1ccc(CC(=O)O)cc1,0
100,Cc1ccccc1C(OCCN(C)C)c1ccccc1.Cl,0
101,CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,0
102,COc1nc(C)nc(Cl)c1NC1=NCCN1,0
103,CN1[C@H]2CCC[C@@H]1CC(NC(=O)c1nn(C)c3ccccc13)C2,0
104,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2SCC4)CC1,0
105,Cl.O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1CN2CCC1CC2,0
106,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O,0
107,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,0
108,CCN(CCCCOC(=O)c1ccc(OC)c(OC)c1)C(C)Cc1ccc(OC)cc1.Cl,0
109,N#CC(c1ccc(Cl)cc1)c1c(Cl)cc(-n2ncc(=O)[nH]c2=O)cc1Cl,0
110,Cl.O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,0
111,CC(=O)OC[C@H]1O[C@@H](n2ncc(=O)[nH]c2=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O,0
112,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,0
113,CN(C)CCCN1c2ccccc2[S@@](=O)c2ccc(Cl)cc21,0
114,NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1,0
115,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,0
116,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CCC2=O,0
117,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1,0
118,CCN(CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1.O=C(O)CC(O)(CC(=O)O)C(=O)O,0
119,CNCC(O)c1ccc(O)cc1,0
120,COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,0
121,CCCOc1cc(N)ccc1C(=O)OCCN(CC)CC.Cl,0
122,Cc1nc2ccccn2c(=O)c1CCN1CCC(C(=O)c2ccc(F)cc2)CC1,0
123,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,0
124,O=C(c1cc(O)c(O)c(O)c1)c1ccc(O)c(O)c1O,0
125,CN(C)CC/C=C1\c2ccccc2COc2ccccc21.Cl,0
126,CCOC(=O)c1ccc(C#Cc2ccc3c(c2)C(C)(C)CCS3)nc1,0
127,O=C(CCCN1CCC(O)(c2ccc(Br)cc2)CC1)c1ccc(F)cc1,0
128,CCN(CC)CCOC(=O)C1(c2ccc([N+](=O)[O-])cc2)CCCC1.Cl,0
129,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,0
130,Cl.OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1,0
131,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,0
132,Cl.O=C(O)/C=C/c1ccc(Cn2ccnc2)cc1,0
133,CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)O,0
134,CC(C)NCC(O)c1ccc2ccccc2c1.Cl,0
135,OC(c1ccccc1)(c1ccccc1)C1CCNCC1,0
136,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,0
137,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12.Cl,0
138,O=P([O-])(O)C(Cl)(Cl)P(=O)([O-])O.[Na+].[Na+],0
139,CCN(CC)CCc1nc(-c2ccccc2)no1.O=C(O)CC(O)(CC(=O)O)C(=O)O,0
140,O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1,0
141,CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,0
142,C[C@H](Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F,0
143,COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]2(C)CCc3cc(OC)c(OC)cc3C2Cc2ccc(OC)c(OC)c2)cc1OC.O=S(=O)([O-])c1ccccc1.O=S(=O)([O-])c1ccccc1,0
144,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,0
145,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,0
146,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,0
147,CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1.Cl,0
148,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1.Cl,0
149,CCOC(=O)c1c(N)sc2c1CCN(Cc1ccccc1)C2.Cl,0
150,C=CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21C,0
151,CC(C)(Oc1ccc(C2CC2(Cl)Cl)cc1)C(=O)O,0
152,Cl.OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,0
153,CC1CS(=O)(=O)CCN1/N=C/c1ccc([N+](=O)[O-])o1,0
154,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O.O.O,0
155,COc1ccc(C(=O)CC(=O)c2ccc(C(C)(C)C)cc2)cc1,0
156,CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1.O=C(O)/C=C/C(=O)O,0
157,Cl.O=C1[C@H]2CCCC[C@H]2C(=O)N1CCCCN1CCN(c2nsc3ccccc23)CC1,0
158,Br.COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3.O,0
159,Nc1nc(=S)c2[nH]cnc2[nH]1,0
160,CS(=O)(=O)O.OC(CCN1CCCCC1)(c1ccccc1)c1ccccc1,0
161,CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O,0
162,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,0
163,CCC(=O)O[C@@](Cc1ccccc1)(c1ccccc1)[C@@H](C)CN(C)C.O.O=S(=O)(O)c1ccc2ccccc2c1,0
164,CN1CCC(OC(c2ccccc2)c2ccccc2)CC1.Cl,0
165,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC.CS(=O)(=O)O,0
166,NCCCC(O)(P(=O)([O-])O)P(=O)(O)O.[Na+],0
167,Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1,0
168,CCCC(=O)N1CCCN(c2nc(N)c3cc(OC)c(OC)cc3n2)CC1.Cl,0
169,CCNCC(O)c1cccc(O)c1.Cl,0
170,Cc1cccc(C)c1NC(=O)C(C)N.Cl,0
171,CN(C)C/C=C(/c1ccc(Br)cc1)c1cccnc1.Cl.Cl.O,0
172,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,0
173,CCCCCCOc1ccccc1C(N)=O,0
174,CCN(CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1.O=C(O)C(=O)O,0
175,O=C(O)c1cn(-c2ccc(F)cc2)c2cc(N3CCNCC3)c(F)cc2c1=O,0
176,CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12.O=C(O)c1ccccc1,0
177,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC.O,0
178,Cl.OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1,0
179,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,0
180,CC(C)C1CCC(C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1,0
181,Cn1c([N+](=O)[O-])cnc1COC(N)=O,0
182,CC(C)=CCOc1ccc(/C=C/C(=O)c2ccc(OCC=C(C)C)cc2OCC(=O)O)cc1,0
183,CCC(Cc1c(I)cc(I)c(N)c1I)C(=O)O,0
184,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(=O)C(C)(C)C,0
185,O=C(N/N=C/c1ccc([N+](=O)[O-])o1)c1ccc(O)cc1,0
186,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,0
187,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,0
188,O=C1CC[C@@H](C(=O)N2CSC[C@H]2C(=O)O)N1,0
189,CCN(CCCc1ccccc1)CCCc1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,0
190,CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C,0
191,CC(C)C[C@H](CN)CC(=O)O,0
192,CCC(C)(C)c1ccc(CC(C)CN2C[C@H](C)O[C@H](C)C2)cc1.Cl,0
193,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,0
194,O=C(NCNC(=O)NC1C(=O)NC(=O)N1CO)NC1C(=O)NC(=O)N1CO,0
195,COc1ccnc(CS(=O)c2nc3cc(OC(F)F)ccc3[n-]2)c1OC.[Na+],0
196,CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O,0
197,CNC(=O)c1c(I)c(C(=O)NCC(=O)Nc2c(I)c(C(=O)O)c(I)c(C(=O)NCCO)c2I)c(I)c(N(C)C(C)=O)c1I,0
198,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,0
199,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,0
200,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21,0
201,C=CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,0
202,CCN(CC)CCOCCOC(=O)C(CC)(CC)c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,0
203,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,0
204,CN(CCCN1c2ccccc2CCc2ccccc21)CC(=O)c1ccc(Cl)cc1,0
205,CC(=O)O.NC(N)=N/N=C/c1c(Cl)cccc1Cl,0
206,CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F,0
207,CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O,0
208,CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)NCCSSCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)CO,0
209,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1.Cl,0
210,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,0
211,CCCC(CCC)C(=O)OC1C[C@@H]2CC[C@H](C1)[N+]2(C)C.[Br-],0
212,CCN1CC(CCN2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O.Cl,0
213,CC(C)NCC(O)COc1cccc2[nH]c3ccccc3c12,0
214,CN(C)CCC=C1c2ccccc2CCc2ccccc21.Cl,0
215,CCOc1ccc(NC(=O)CC(C)O)cc1,0
216,Cc1cc(=O)c(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)c[nH]1,0
217,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C.Cl,0
218,CC(NN)c1ccccc1,0
219,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C,0
220,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I.O.O,0
221,Cc1ccc2c(Cl)cc(Cl)c(O)c2n1,0
222,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC.Cl,0
223,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,0
224,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,0
225,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C6CCCC6)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,0
226,O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,0
227,Cc1c(Cl)cccc1Nc1ncccc1C(=O)O,0
228,NS(=O)(=O)c1cc(C(=O)NN2C[C@H]3[C@@H]4CC[C@@H](C4)[C@H]3C2)ccc1Cl,0
229,O=C(CCCN1CCN(c2ccccn2)CC1)c1ccc(F)cc1,0
230,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,0
231,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,0
232,CC(C)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1,0
233,CNCC[C@@H](Oc1cccc2ccccc12)c1cccs1.Cl,0
234,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC.Cl,0
235,CN(c1nccc(=O)[nH]1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,0
236,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,0
237,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,0
238,COc1cccc(N(C)C(=S)Oc2ccc3c(c2)CCCC3)n1,0
239,CCNCC.O=S(=O)(O)c1cc(O)ccc1O,0
240,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CCC(=O)[C@@]4(C)CC[C@@H]32)C1,0
241,COc1cc(NC(C)CCCN)c2ncccc2c1.O=P(O)(O)O.O=P(O)(O)O,0
242,CC(C)Cn1cnc2c(N)nc3ccccc3c21,0
243,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1.Cl,0
244,CC(N)C12CC3CC(CC(C3)C1)C2.Cl,0
245,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1.Cl,0
246,CNC1(C)C2CCC(C2)C1(C)C.Cl,0
247,CN(C(=O)C(Cl)Cl)c1ccc(OC(=O)c2ccco2)cc1,0
248,CCOc1cc(N)c(Cl)cc1C(=O)NCC1CN(Cc2ccc(F)cc2)CCO1,0
249,COc1ccc2[nH]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2n1,0
250,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,0
251,O=C1OCCN1/N=C/c1ccc([N+](=O)[O-])o1,0
252,CC(CN1c2ccccc2Sc2ccccc21)N(C)C.Cl,0
253,CN1C2CCC1CC(OC(c1ccccc1)c1ccccc1)C2.CS(=O)(=O)O,0
254,N#C/C(=C1/SCC(c2ccccc2Cl)S1)n1ccnc1,0
255,CN(C)CCCN1c2ccccc2CCc2ccccc21.Cl,0
